isr_db_id	source	CORE_otu	genus_group	family	order	class	phylum
CP014232	Actinomyces_oris_T14V_414	Actinomyces viscosus naeslundii oris	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteridae	Actinobacteria
CP014234.A	Moraxella_osloensis_CCUG_350_767	Moraxella osloensis	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
CP014234.B	Moraxella_osloensis_CCUG_350_830	Moraxella osloensis	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
CP014234.C	Moraxella_osloensis_CCUG_350_803	Moraxella osloensis	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
CP014326	Streptococcus_mitis_SVGS_061_257	Streptococcus mitis pneumoniae infantis oralis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
CP020566.A	Veillonella_atypica_OK5_291	Veillonella atypica dispar parvula	Veillonella	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
CP020566.B	Veillonella_atypica_OK5_603	Veillonella atypica dispar parvula	Veillonella	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
CP020566.C	Veillonella_atypica_OK5_457	Veillonella atypica dispar parvula	Veillonella	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
FR720602	Streptococcus_oralis_Uo5_257	Streptococcus mitis pneumoniae infantis oralis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
GL635793	Neisseria_mucosa_C102_617	Neisseria flava mucosa pharyngis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria
JN181337	Streptococcus_australis_VMC19_ISR_283	Streptococcus australis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
JN181357	Streptococcus_vestibularis_VMC46_281	Streptococcus vestibularis salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
JN181385	Streptococcus_infantis_ATCC_700779_276	Streptococcus mitis pneumoniae infantis oralis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
KQ969689	Streptococcus_parasanguinis_DD19	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
LN831027.A	Fusobacterium_nucleatum_subsp_polymorphum_NCTC10562_321	Fusobacterium nucleatum subsp polymorphum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria	Fusobacteria
LN831027.B	Fusobacterium_nucleatum_subsp_polymorphum_NCTC10562_147	Fusobacterium nucleatum subsp polymorphum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria	Fusobacteria
LN831027.C	Fusobacterium_nucleatum_subsp_polymorphum_NCTC10562_211	Fusobacterium nucleatum subsp polymorphum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria	Fusobacteria
LOJO01000001	Veillonella_parvula_SHI_1	Veillonella atypica dispar parvula	Veillonella	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
NC013162	Capnocytophaga_ochracea_DSM_7271_612	Capnocytophaga ochracea	Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteria	Bacteroidetes
NC_002737	Streptococcus_pyogenes_SF370_431	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NC_008530.A	Lactobacillus_gasseri_ATCC_33323_229	Lactobacillus gasseri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
NC_008530.B	Lactobacillus_gasseri_ATCC_33323_455	Lactobacillus gasseri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
NC_009009	Streptococcus_sanguinis_SK36	Streptococcus sanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NC_009785	Streptococcus_gordonii_str_Challis_substr_CH1	Streptococcus gordonii	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NC_010610.A	Lactobacillus_fermentum_IFO_3956_401	Lactobacillus fermentum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
NC_010610.B	Lactobacillus_fermentum_IFO_3956_206	Lactobacillus fermentum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
NC_010999.A	Lactobacillus_casei_BL23_228	Lactobacillus casei rhamnosus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
NC_010999.B	Lactobacillus_casei_BL23_436	Lactobacillus casei rhamnosus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
NC_013192.A	Leptotrichia_buccalis_DSM_1135	Leptotrichia buccalis	Leptotrichia	Fusobacteriaceae	Fusobacteriales	Fusobacteria	Fusobacteria
NC_013198.A	Lactobacillus_rhamnosus_GG_ATCC_53103_229	Lactobacillus casei rhamnosus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
NC_013198.B	Lactobacillus_rhamnosus_GG_ATCC_53103_442	Lactobacillus casei rhamnosus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
NC_013203	Atopobium_parvulum_DSM_20469_248	Atopobium parvulum	Atopobium	Coriobacteriaceae	Coriobacteriales	Coriobacteridae	Actinobacteria
NC_013520.A	Veillonella_parvula_DSM_2008_803	Veillonella atypica dispar parvula	Veillonella	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
NC_013520.B	Veillonella_parvula_DSM_2008_661	Veillonella atypica dispar parvula	Veillonella	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
NC_013520.C	Veillonella_parvula_DSM_2008_654	Veillonella atypica dispar parvula	Veillonella	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
NC_015311.A	Prevotella_denticola_F0289_366	Prevotella denticola	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
NC_015311.B	Prevotella_denticola_F0289_400	Prevotella denticola	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
NC_015311.C	Prevotella_denticola_F0289_572	Prevotella denticola	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
NC_015437.A	Selenomonas_sputigena_ATCC_35185_331	Selenomonas sputigena	Selenomonas	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
NC_015437.B	Selenomonas_sputigena_ATCC_35185_333	Selenomonas sputigena	Selenomonas	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
NC_015437.C	Selenomonas_sputigena_ATCC_35185_471	Selenomonas sputigena	Selenomonas	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
NC_015437.D	Selenomonas_sputigena_ATCC_35185_422	Selenomonas sputigena	Selenomonas	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
NC_015678	Streptococcus_parasanguinis_ATCC_15912	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
